hypothesis,coin,feature,date,period,rolling_ic
H1_visibility,BTC,musk_max_views_8h_log,2023-09-11 00:00:00,train,-0.023208364680988185
H1_visibility,BTC,musk_max_views_8h_log,2023-09-12 00:00:00,train,0.01034626587805511
H1_visibility,BTC,musk_max_views_8h_log,2023-09-13 00:00:00,train,-0.002531187168789901
H1_visibility,BTC,musk_max_views_8h_log,2023-09-14 00:00:00,train,-0.018306424378682008
H1_visibility,BTC,musk_max_views_8h_log,2023-09-15 00:00:00,train,-0.050666097272664364
H1_visibility,BTC,musk_max_views_8h_log,2023-09-16 00:00:00,train,-0.03475022935564353
H1_visibility,BTC,musk_max_views_8h_log,2023-09-17 00:00:00,train,0.02420533118073025
H1_visibility,BTC,musk_max_views_8h_log,2023-09-18 00:00:00,train,0.022332057011317526
H1_visibility,BTC,musk_max_views_8h_log,2023-09-19 00:00:00,train,0.05318525430143617
H1_visibility,BTC,musk_max_views_8h_log,2023-09-20 00:00:00,train,0.0732814014732081
H1_visibility,BTC,musk_max_views_8h_log,2023-09-21 00:00:00,train,0.06774425073396786
H1_visibility,BTC,musk_max_views_8h_log,2023-09-22 00:00:00,train,0.06727159318673273
H1_visibility,BTC,musk_max_views_8h_log,2023-09-23 00:00:00,train,0.0505708043369856
H1_visibility,BTC,musk_max_views_8h_log,2023-09-24 00:00:00,train,0.0668400463290934
H1_visibility,BTC,musk_max_views_8h_log,2023-09-25 00:00:00,train,0.09749908035815603
H1_visibility,BTC,musk_max_views_8h_log,2023-09-26 00:00:00,train,0.10885396875092224
H1_visibility,BTC,musk_max_views_8h_log,2023-09-27 00:00:00,train,0.08845324744995134
H1_visibility,BTC,musk_max_views_8h_log,2023-09-28 00:00:00,train,0.10118402955741904
H1_visibility,BTC,musk_max_views_8h_log,2023-09-29 00:00:00,train,0.10592534849580323
H1_visibility,BTC,musk_max_views_8h_log,2023-09-30 00:00:00,train,0.11435230306852587
H1_visibility,BTC,musk_max_views_8h_log,2023-10-01 00:00:00,train,0.1519438323294041
H1_visibility,BTC,musk_max_views_8h_log,2023-10-02 00:00:00,train,0.1484135122738796
H1_visibility,BTC,musk_max_views_8h_log,2023-10-03 00:00:00,train,0.15703719928155357
H1_visibility,BTC,musk_max_views_8h_log,2023-10-04 00:00:00,train,0.12854144337382595
H1_visibility,BTC,musk_max_views_8h_log,2023-10-05 00:00:00,train,0.10941865696627684
H1_visibility,BTC,musk_max_views_8h_log,2023-10-06 00:00:00,train,0.1281533037072577
H1_visibility,BTC,musk_max_views_8h_log,2023-10-07 00:00:00,train,0.13685247630241593
H1_visibility,BTC,musk_max_views_8h_log,2023-10-08 00:00:00,train,0.148107890782048
H1_visibility,BTC,musk_max_views_8h_log,2023-10-09 00:00:00,train,0.13337354483236927
H1_visibility,BTC,musk_max_views_8h_log,2023-10-10 00:00:00,train,0.1324731583989551
H1_visibility,BTC,musk_max_views_8h_log,2023-10-11 00:00:00,train,0.11023259846362228
H1_visibility,BTC,musk_max_views_8h_log,2023-10-12 00:00:00,train,0.10506021249010195
H1_visibility,BTC,musk_max_views_8h_log,2023-10-13 00:00:00,train,0.11078798750180147
H1_visibility,BTC,musk_max_views_8h_log,2023-10-14 00:00:00,train,0.11043751724041352
H1_visibility,BTC,musk_max_views_8h_log,2023-10-15 00:00:00,train,0.12656457411607636
H1_visibility,BTC,musk_max_views_8h_log,2023-10-16 00:00:00,train,0.09729843653769209
H1_visibility,BTC,musk_max_views_8h_log,2023-10-17 00:00:00,train,0.08420350457941644
H1_visibility,BTC,musk_max_views_8h_log,2023-10-18 00:00:00,train,0.08946263094373944
H1_visibility,BTC,musk_max_views_8h_log,2023-10-19 00:00:00,train,0.06820698726732884
H1_visibility,BTC,musk_max_views_8h_log,2023-10-20 00:00:00,train,0.05584581014250456
H1_visibility,BTC,musk_max_views_8h_log,2023-10-21 00:00:00,train,0.0481435555127897
H1_visibility,BTC,musk_max_views_8h_log,2023-10-22 00:00:00,train,0.03905931216829466
